Model,ModelSlug,QuestionType,NumSamples,Accuracy,ExactAnyMatch,TokenF1,BLEU,METEOR,ROUGE-L,LLM-Judge
LLaVA-Phi-3-mini,llava,brand_logo,579,0.540587219343696,0.5682210708117443,0.5888302639597977,0.12241328775697083,0.3496369377114961,0.59689513135109,0.614853195164076
LLaVA-Phi-3-mini,llava,color,43,0.7674418604651164,0.7906976744186046,0.8023255813953488,0.15302786642885854,0.428348406546081,0.8023255813953488,0.8023255813953488
LLaVA-Phi-3-mini,llava,date_time,358,0.35847299813780265,0.3715083798882682,0.4076620152039146,0.08568784103050531,0.22687586418997716,0.4086821000228822,0.4022346368715084
LLaVA-Phi-3-mini,llava,general_what,1845,0.45293586269196023,0.4975609756097561,0.5810365004047201,0.1645843287890717,0.3991739802651277,0.5900988274504171,0.6043360433604336
LLaVA-Phi-3-mini,llava,location,113,0.43952802359882004,0.504424778761062,0.6609522728991757,0.1979521022430811,0.46134002352003595,0.6533642365500774,0.6415929203539823
LLaVA-Phi-3-mini,llava,number_count,636,0.5256813417190777,0.5550314465408805,0.5658789149355187,0.10506239201472224,0.2903679231632334,0.5663264742427991,0.5542452830188679
LLaVA-Phi-3-mini,llava,other,235,0.5347517730496454,0.5659574468085107,0.6313748426514384,0.13773099931902832,0.36941714429132233,0.638767260181528,0.6446808510638298
LLaVA-Phi-3-mini,llava,person,262,0.41094147582697205,0.44656488549618323,0.5204140643071941,0.13785945903451732,0.37845552068875976,0.5311137547778769,0.5419847328244275
LLaVA-Phi-3-mini,llava,price_currency,40,0.45,0.5,0.5125,0.10213450579408583,0.29322916666666665,0.5125,0.525
LLaVA-Phi-3-mini,llava,scene_text,657,0.4429223744292237,0.471841704718417,0.5157233843642653,0.13637267332266734,0.32679581254023066,0.5259749194451091,0.5312024353120244
LLaVA-Phi-3-mini,llava,yes_no,232,0.8448275862068966,0.8836206896551724,0.8864942528735633,0.157776994758276,0.443769592476489,0.8864942528735633,0.8814655172413793
Qwen2.5-VL-3B,qwen,brand_logo,579,0.8203799654576857,0.8601036269430051,0.8748416810592976,0.19648851184151955,0.5157120954883789,0.8782959124928036,0.8886010362694301
Qwen2.5-VL-3B,qwen,color,43,0.7751937984496123,0.813953488372093,0.8372093023255814,0.16302437114196522,0.4598406546080965,0.8372093023255814,0.813953488372093
Qwen2.5-VL-3B,qwen,date_time,358,0.6396648044692738,0.6731843575418994,0.686778398510242,0.15814246248749955,0.40481876524893473,0.6906890130353817,0.6983240223463687
Qwen2.5-VL-3B,qwen,general_what,1845,0.7609756097560976,0.8184281842818428,0.8673558096921383,0.2741629325959429,0.6153549648142083,0.8704422185114213,0.8826558265582656
Qwen2.5-VL-3B,qwen,location,113,0.7905604719764011,0.831858407079646,0.8758112094395281,0.2805367822976205,0.6253436621226852,0.8756503083936713,0.8716814159292036
Qwen2.5-VL-3B,qwen,number_count,636,0.7940251572327043,0.8160377358490566,0.8314577717879605,0.16041296173318192,0.4412610492972542,0.8338162623539982,0.8341194968553459
Qwen2.5-VL-3B,qwen,other,235,0.7801418439716312,0.8170212765957446,0.8368794326241136,0.20017733208056118,0.5041898701249017,0.8416548463356974,0.8446808510638298
Qwen2.5-VL-3B,qwen,person,262,0.8206106870229007,0.8473282442748091,0.8856446140797286,0.26616326762657944,0.6729805343666689,0.8836907791106264,0.9026717557251909
Qwen2.5-VL-3B,qwen,price_currency,40,0.85,0.875,0.8916666666666666,0.16625781158210612,0.47073863636363633,0.8916666666666666,0.8625
Qwen2.5-VL-3B,qwen,scene_text,657,0.741248097412481,0.7732115677321156,0.7924208740766217,0.223028197568891,0.511050943820213,0.8059535277919235,0.8135464231354642
Qwen2.5-VL-3B,qwen,yes_no,232,0.8994252873563218,0.9224137931034483,0.9241379310344828,0.16426253392855225,0.46274630541871925,0.9238505747126438,0.9181034482758621
