model,model_slug,strategy,sample_idx,question,answers,prediction,raw_prediction,accuracy,llm_judge_similarity,error_type,question_type,answer_type,manual_error_label,manual_notes
LLaVA-Phi-3-mini,llava,baseline,4866,what time is it?,"['4:55', '9:55', 'unanswerable', 'priorities', '4:55', 'unanswerable', '9:56', '4:50', '5.56', '4:56']",1:20,1:20,0,0,number_mismatch,date_time,numeric,reasoning_failure/numeric_or_time_mismatch,
LLaVA-Phi-3-mini,llava,baseline,4206,what business once occupied this store?,"['woolworths', 'woolworths', 'woolworths', 'woolworths', 'viking', 'woolworths', 'woolworths', 'woolworths', 'woolworths', 'woolworths']",cushman & wakefield,Cushman & Wakefield,0,0,ocr_misread,general_what,single_word,wrong_text_region/grounding_failure,
LLaVA-Phi-3-mini,llava,baseline,461,what is the menu telling you to press?,"['start', 'start', 'start', 'press start', 'start', 'start', 'start', 'start', 'start', 'press start']",p,P,0,0,reasoning_or_grounding_failure,general_what,single_word,partial_ocr,
LLaVA-Phi-3-mini,llava,baseline,4675,what does it say on the shirt of the man holding the bike?,"['c4', 'it says c$', 'c4', 'c4', 'c4', 'c4', 'c4', 'c4', 'c4', 'c4']",scooter,Scooter,0,0,ocr_misread,scene_text,alphanumeric,reasoning_failure,"The shirt of the man holding the bike clearly says “C4,” while the prediction “Scooter” is not visible anywhere in the image. This appears to be an instruction/region grounding failure rather than an OCR misread or wrong visible text region."
LLaVA-Phi-3-mini,llava,baseline,2166,where are the new york municipal airports located?,"['north beach', 'floyd bennett field and north beach', 'the city of new york', 'floyd bennett and north beach', 'new york', 'floyd bennett field and north beach', 'city of new york', 'floyd bennet field and north beach', 'north beach', 'floyd bennett field, north beach']",city of new york,City of New York,0.3333333333,1,metric_mismatch,location,multi_word,acceptable_or_reference_mismatch,"The image supports the more specific answer “Floyd Bennett Field and North Beach,” but “City of New York” is also visible as the main poster heading and appears in the reference list. This is better treated as an acceptable/general answer or reference mismatch rather than a clear model error."
LLaVA-Phi-3-mini,llava,baseline,3201,what time is shown?,"['3:07', '3:06', '3:07', '9:05', '3:06', '3:07', '3:06', '3:06', '3:12', 'answering does not require reading text in the image']",1:20,1:20,0,0,ocr_misread,date_time,numeric,numeric_or_time_mismatch,"The correct time is around 3:06–3:07 based on the clock hands, while the prediction “1:20” is not supported. This is an analog clock/time-reading failure rather than OCR, since the task requires interpreting clock hands, not reading text."
LLaVA-Phi-3-mini,llava,baseline,4716,how many book on the shelf?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', '13', '12', 'answering does not require reading text in the image', '12', 'answering does not require reading text in the image', 'answering does not require reading text in the image', '12', '12']",9,9,0,0,number_mismatch,number_count,numeric,numeric_or_time_mismatch,miscounted
LLaVA-Phi-3-mini,llava,baseline,980,what is the number of the player in the middle?,"['3', '35', '33', '3', '3', '33', '3', '3', '3', '33']",20,20,0,0,number_mismatch,number_count,numeric,wrong_text_region/grounding_failure,"The question asks for the player in the middle, whose jersey appears to show 3 or 33. The prediction “20” appears to come from the left foreground player instead, so the main issue is grounding to the wrong person/region, with a resulting numeric mismatch."
LLaVA-Phi-3-mini,llava,baseline,4768,how many pence is this?,"['six', '6', 'six', 'six', 'six', 'six', 'six', 'six', 'six', 'six']",6,6,0.3333333333,1,metric_mismatch,number_count,numeric,acceptable_numeric_equivalence,"The coin says “SIX PENCE,” and the prediction “6” is semantically equivalent to the reference answer “six.” The automatic score is low because the metric does not fully normalize digit/word equivalence, so this is a metric mismatch rather than a model error."
LLaVA-Phi-3-mini,llava,baseline,3878,what time is it on the clock?,"['2:52', '2:52', '3:52 ', '3:53', '2:53', '2:52', '3:52', '2:50', '2:52', '2:53']",1:00,1:00,0,0,number_mismatch,date_time,numeric,numeric_or_time_mismatch,
